Model Adı,Benzer Metin Indexleri,Cosine Skorları,Ortalama Cosine
lemma_cbow_w2_d100,"[6991, 2473, 752, 9667, 5889]","[0.995, 0.9949, 0.9949, 0.9947, 0.9941]",0.9947
lemma_skipgram_w2_d100,"[3246, 2643, 3497, 636, 2403]","[0.9902, 0.9888, 0.9885, 0.9879, 0.9877]",0.9886
lemma_cbow_w4_d100,"[4684, 2473, 6991, 5296, 3112]","[0.9959, 0.9957, 0.9953, 0.9949, 0.9947]",0.9953
lemma_skipgram_w4_d100,"[329, 3246, 2740, 6284, 2643]","[0.9826, 0.9825, 0.9824, 0.9823, 0.9812]",0.9822
lemma_cbow_w2_d300,"[4684, 1116, 2473, 506, 9667]","[0.997, 0.9967, 0.9964, 0.9963, 0.996]",0.9965
lemma_skipgram_w2_d300,"[2643, 3246, 2740, 5889, 3497]","[0.9899, 0.9898, 0.9886, 0.9883, 0.9876]",0.9889
lemma_cbow_w4_d300,"[4684, 506, 752, 2473, 8245]","[0.9981, 0.998, 0.9973, 0.9971, 0.9971]",0.9975
lemma_skipgram_w4_d300,"[3246, 2740, 2403, 329, 2643]","[0.9864, 0.9859, 0.9853, 0.9846, 0.9837]",0.9852
stem_cbow_w2_d100,"[5296, 2740, 2473, 4684, 1032]","[0.9951, 0.9948, 0.9948, 0.9948, 0.9942]",0.9947
stem_skipgram_w2_d100,"[2740, 5889, 2643, 2403, 3246]","[0.9892, 0.9885, 0.9884, 0.9877, 0.9873]",0.9882
stem_cbow_w4_d100,"[2473, 4684, 506, 2873, 2740]","[0.9966, 0.9962, 0.996, 0.996, 0.9958]",0.9961
stem_skipgram_w4_d100,"[2740, 3497, 2403, 3246, 2643]","[0.9818, 0.9815, 0.9809, 0.9808, 0.9795]",0.9809
stem_cbow_w2_d300,"[2473, 4684, 2001, 1032, 752]","[0.9972, 0.9971, 0.9966, 0.9965, 0.9962]",0.9967
stem_skipgram_w2_d300,"[2740, 2643, 3246, 5889, 2403]","[0.9899, 0.9891, 0.9887, 0.9885, 0.9884]",0.9889
stem_cbow_w4_d300,"[2473, 4684, 2001, 3577, 1032]","[0.9984, 0.9975, 0.9966, 0.9965, 0.9964]",0.9971
stem_skipgram_w4_d300,"[3246, 2403, 2740, 3497, 6284]","[0.9867, 0.9864, 0.9855, 0.9848, 0.9844]",0.9856
