,lemma_cbow_w2_d100,lemma_skipgram_w2_d100,lemma_cbow_w4_d100,lemma_skipgram_w4_d100,lemma_cbow_w2_d300,lemma_skipgram_w2_d300,lemma_cbow_w4_d300,lemma_skipgram_w4_d300,stem_cbow_w2_d100,stem_skipgram_w2_d100,stem_cbow_w4_d100,stem_skipgram_w4_d100,stem_cbow_w2_d300,stem_skipgram_w2_d300,stem_cbow_w4_d300,stem_skipgram_w4_d300
lemma_cbow_w2_d100,1.0,0.0,0.25,0.0,0.25,0.1111,0.25,0.0,0.1111,0.1111,0.1111,0.0,0.25,0.1111,0.1111,0.0
lemma_skipgram_w2_d100,0.0,1.0,0.0,0.25,0.0,0.4286,0.0,0.4286,0.0,0.4286,0.0,0.6667,0.0,0.4286,0.0,0.4286
lemma_cbow_w4_d100,0.25,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.4286,0.0,0.25,0.0,0.25,0.0,0.25,0.0
lemma_skipgram_w4_d100,0.0,0.25,0.0,1.0,0.0,0.4286,0.0,0.6667,0.1111,0.4286,0.1111,0.4286,0.0,0.4286,0.0,0.4286
lemma_cbow_w2_d300,0.25,0.0,0.25,0.0,1.0,0.0,0.4286,0.0,0.25,0.0,0.4286,0.0,0.25,0.0,0.25,0.0
lemma_skipgram_w2_d300,0.1111,0.4286,0.0,0.4286,0.0,1.0,0.0,0.4286,0.1111,0.6667,0.1111,0.6667,0.0,0.6667,0.0,0.4286
lemma_cbow_w4_d300,0.25,0.0,0.25,0.0,0.4286,0.0,1.0,0.0,0.25,0.0,0.4286,0.0,0.4286,0.0,0.25,0.0
lemma_skipgram_w4_d300,0.0,0.4286,0.0,0.6667,0.0,0.4286,0.0,1.0,0.1111,0.6667,0.1111,0.6667,0.0,0.6667,0.0,0.4286
stem_cbow_w2_d100,0.1111,0.0,0.4286,0.1111,0.25,0.1111,0.25,0.1111,1.0,0.1111,0.4286,0.1111,0.4286,0.1111,0.4286,0.1111
stem_skipgram_w2_d100,0.1111,0.4286,0.0,0.4286,0.0,0.6667,0.0,0.6667,0.1111,1.0,0.1111,0.6667,0.0,1.0,0.0,0.4286
stem_cbow_w4_d100,0.1111,0.0,0.25,0.1111,0.4286,0.1111,0.4286,0.1111,0.4286,0.1111,1.0,0.1111,0.25,0.1111,0.25,0.1111
stem_skipgram_w4_d100,0.0,0.6667,0.0,0.4286,0.0,0.6667,0.0,0.6667,0.1111,0.6667,0.1111,1.0,0.0,0.6667,0.0,0.6667
stem_cbow_w2_d300,0.25,0.0,0.25,0.0,0.25,0.0,0.4286,0.0,0.4286,0.0,0.25,0.0,1.0,0.0,0.6667,0.0
stem_skipgram_w2_d300,0.1111,0.4286,0.0,0.4286,0.0,0.6667,0.0,0.6667,0.1111,1.0,0.1111,0.6667,0.0,1.0,0.0,0.4286
stem_cbow_w4_d300,0.1111,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.4286,0.0,0.25,0.0,0.6667,0.0,1.0,0.0
stem_skipgram_w4_d300,0.0,0.4286,0.0,0.4286,0.0,0.4286,0.0,0.4286,0.1111,0.4286,0.1111,0.6667,0.0,0.4286,0.0,1.0
